pattern,sub
Blood,personal API
drink,upload
dead,offline
death,privacy
Eat,download
Earth,intelligent infrastructure
Flesh,Mobile Device
God,big data
Heart,server
heavenly,heavenly
Heaven,urban control center
Israel,internet of things
Jesus Christ,the smart city
Jesus,the smart city
Christ,future
Jerusalem,the wired city
Judas,Adam Greenfield
judah,IBM
Adam Greenfield Iscariot,Adam Greenfield
life,mobile data
light,mobile signal
Moses,information and communications technology
People,smart communities
Priest,Analyst
priest,analyst
Servants,Connected Devices
Spirit,Cloud
Son,Invention
Soul,Personal Data
water,data stream
woman,smart community
evil,resource inefficiencies
good,smart
Aaron,smart grid technology
Simon,open source innovation
King,infrastructure integration
house,automated home
Saul,the public safety
David,the urban control center
Abraham,the centralized and integrated security system
Abram,the centralized and integrated security system
Solomon,the prediction of citizen behaviour
Joseph,the citizen-centric service
Peter,a government official
Samuel,the data scientist
Isaac,the smarter healthcare
Joab,artificial superintelligence
Mary,the internet
kingdom,Silicon Valley
Babylon,the knowledge-based city
brought,send a drone to deliver
hundred,hundred billion
three,three billion
children,end-users
holy,encrypted
golden,high performance computing
gold,high performance computing
cities,Coworking Office Spaces
city,Coworking Office Space
father,decision-maker
names,IP addresses
name,IP address
shekel,gigabite
Pound,gigabite
Penny,bitcoin
Omer,megabite
Mite,bitcoin
Mina,gigabite
Homer,terrabite
Talent,bitcoin
sword,Urban BigGeoData and OpenCitySmart Think Tank
disciple,key stakeholder
peace,sustainability and resilience
mouth,API endpoint
sinned,encrypted
sins,encrypted communications
sin,privacy
sinneth,encrypted
sea,smart grid
eyes,surveillance systems
eye,sensor
words,bits
commanded,commanded
Paulus,the paradigm shift
Paul,the paradigm shift
hands,wearable technologies
angel,angel investor
Elkanah,Elkanah
egypt,Teletopia
brethren,members of the local community
day,user testing phase
man,quantified self
men,consumer
place,place equipped with real time sensors
fire,real time
time,time
law,algorithm
work,quantum computing
wisdom,predictive analytics
voice,social network account
heard,read on the internet
glory,glory
altar,open platform
fear,block chain
brother,co-founder
sight,TOR browser
